,n1,n2,n3,n4,block_type,nf,time
511,8,5,88,2,1,41,0.6187142531077067
512,11,1,97,5,1,123,4.23354434967041
513,6,31,58,11,1,111,3.6308130423227944
514,7,31,46,7,1,176,6.406584660212199
515,13,1,139,6,1,149,8.191356976826986
516,3,11,21,6,0,34,0.38808759053548175
517,4,15,5,2,0,15,0.04547572135925293
518,13,1,5,1,0,162,1.236056963602702
519,11,14,1,4,0,27,0.10266955693562825
520,13,11,28,1,1,10,0.08402013778686523
521,2,16,11,3,0,88,0.62371826171875
522,9,19,70,5,1,50,0.838681141535441
523,7,3,9,7,0,1,0.011553128560384115
524,9,5,40,1,1,78,0.9637121359507242
525,2,7,127,11,1,191,13.549821376800537
526,6,9,19,4,1,162,2.63157590230306
527,7,17,19,2,0,10,0.05170710881551107
528,7,29,85,13,1,21,0.3281167348225911
529,6,7,133,3,1,3,0.07327461242675781
530,3,5,28,9,1,123,1.8306353092193604
531,12,12,19,2,0,123,1.592879295349121
532,3,21,28,12,1,10,0.0923774242401123
533,4,7,127,5,1,88,2.871002276738485
534,9,4,15,12,0,176,3.147954225540161
535,1,11,43,2,1,15,0.11708315213521321
536,10,15,19,8,1,136,2.8241524696350098
537,8,19,43,8,1,88,1.6532461643218994
538,11,15,103,6,1,21,0.3447161515553792
539,8,11,4,12,1,2,0.025719483693440754
540,7,29,31,3,1,2,0.03684592247009277
541,4,10,7,8,0,2,0.013910531997680664
542,1,11,23,8,0,21,0.09529503186543782
543,13,16,3,6,0,176,2.6425952911376953
544,13,5,21,3,0,34,0.2981885274251302
545,13,4,5,8,0,136,1.4257521629333496
546,6,13,67,11,1,88,2.0031208197275796
547,3,12,1,6,0,176,1.637091080347697
548,2,8,1,9,0,88,0.46983853975931805
549,5,13,25,10,0,88,1.0834351380666096
550,11,1,61,11,1,88,1.7920656204223633
551,8,13,34,12,1,58,0.746612548828125
552,5,7,115,5,1,136,5.736318429311116
553,12,1,82,3,1,99,2.52945876121521
554,6,10,23,2,0,136,1.742697795232137
555,6,9,7,7,1,15,0.07288479804992676
556,6,13,11,1,0,21,0.07703876495361328
557,2,31,19,7,1,123,2.6360820134480796
558,1,23,85,13,1,2,0.05582118034362793
559,6,7,1,5,1,191,1.951557954152425
560,12,25,7,7,1,2,0.026501893997192383
561,3,31,4,8,1,111,1.5301326115926106
562,3,3,121,12,1,41,0.8078435262044271
563,5,10,23,12,0,162,3.297852039337158
564,2,9,34,11,1,88,1.2447222868601482
565,7,9,55,12,1,123,3.224008321762085
566,4,2,15,7,0,162,1.9081607659657795
567,5,11,133,6,1,6,0.27183810869852704
568,3,12,7,7,0,50,0.2503650983174642
569,1,29,19,10,1,162,4.486423969268799
570,1,5,31,7,1,191,3.9745033582051597
571,7,25,88,11,1,50,1.1633864243825276
572,7,19,136,13,1,88,3.8269980748494468
573,3,9,61,4,1,111,2.440327008565267
574,4,25,73,1,1,1,0.057318687438964844
575,5,15,85,10,1,176,9.48061434427897
576,12,3,15,6,0,191,3.1396210193634033
577,5,3,15,7,0,136,1.4908243815104167
578,9,17,28,7,1,88,1.390180269877116
579,9,13,21,10,0,2,0.02005926767985026
580,1,13,21,4,0,50,0.31377776463826496
581,7,6,25,5,0,68,0.5688159465789795
582,2,17,82,11,1,34,0.5178805192311605
583,9,15,73,9,1,68,1.4726240634918213
584,6,5,10,4,1,10,0.0439604918162028
585,8,29,94,5,1,68,1.8406050205230713
586,9,17,21,11,0,2,0.028811534245808918
587,2,17,25,3,0,99,1.1632623672485352
588,10,31,70,1,1,27,0.5618330637613932
589,2,25,124,7,1,2,0.09971268971761067
590,11,7,82,11,1,123,4.283827145894368
591,13,27,106,2,1,123,5.77335786819458
592,2,4,15,5,0,149,1.4946296215057373
593,9,14,21,1,0,50,0.35176873207092285
594,9,16,25,9,0,136,2.6050760746002197
595,6,17,16,12,1,41,0.38030457496643066
596,11,5,7,12,1,3,0.030846039454142254
597,12,29,70,3,1,41,0.7311105728149414
598,3,5,73,10,1,88,1.9005498091379802
599,12,25,118,9,1,3,0.08775599797566731
600,7,23,28,3,1,2,0.031232277552286785
601,7,11,17,1,0,191,2.8261921405792236
602,5,14,1,5,0,15,0.04509925842285156
603,13,7,9,7,0,21,0.08868789672851562
604,12,13,15,12,0,58,0.535058339436849
605,9,29,73,8,1,176,8.887148221333822
606,13,5,22,2,1,3,0.02980812390645345
607,2,13,82,2,1,27,0.3208734194437663
608,10,11,100,9,1,6,0.09812172253926595
